gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-8.434581083164791049e-02,3.532180584593850980e+00,-2.001978576622351458e+00
-9.120841204238357147e-02,3.516453457167642238e+00,-2.018991475180926809e+00
-9.806159411016014682e-02,3.500633618634476640e+00,-2.035891352063884607e+00
-1.049053367435278938e-01,3.484721852330329828e+00,-2.052677642786866041e+00
-1.117396187892242682e-01,3.468718946588219776e+00,-2.069349797885046804e+00
-1.185644193260610435e-01,3.452625697549752459e+00,-2.085907265410756661e+00
-1.253797155636206251e-01,3.436442899698078701e+00,-2.102349503569453937e+00
-1.321854927300043225e-01,3.420171350308315539e+00,-2.118675975838370196e+00
-1.389817222696320409e-01,3.403811857636603655e+00,-2.134886150395161497e+00
-1.457683904059086655e-01,3.387365225052942463e+00,-2.150979498079026442e+00
-1.525454718492174899e-01,3.370832261194996349e+00,-2.166955498997856999e+00
-1.593129489483052497e-01,3.354213785059651176e+00,-2.182813637657242456e+00
-1.660707971947625039e-01,3.337510608670661405e+00,-2.198553406908613894e+00
-1.728190006603308182e-01,3.320723553454528076e+00,-2.214174303032890645e+00
-1.795575366184758437e-01,3.303853444110250059e+00,-2.229675819312894713e+00
-1.862863847737399048e-01,3.286901105108023025e+00,-2.245057470765976948e+00
-1.930055225162363719e-01,3.269867367839101480e+00,-2.260318767492579539e+00
-1.997149324913515545e-01,3.252753064989122755e+00,-2.275459229757368806e+00
-2.064145929393432499e-01,3.235559030676137482e+00,-2.290478376631921886e+00
-2.131044835498426271e-01,3.218286105539171604e+00,-2.305375745852899172e+00
-2.197845825514126716e-01,3.200935130445652810e+00,-2.320150862770127276e+00
