q0 (),q1,q2,q3
9.692767707136262789e-01,9.079443064727757418e-02,8.372682754711213704e-02,2.127174921516734596e-01
9.680738005907638666e-01,9.275320346904231128e-02,8.552357110465291790e-02,2.166002738721533594e-01
9.668485797722511377e-01,9.469808238046062421e-02,8.733853488135918941e-02,2.204723958018825203e-01
9.656012514827558846e-01,9.662882985868356811e-02,8.917153568738593605e-02,2.243335231262387486e-01
9.643319582156609782e-01,9.854522072699303803e-02,9.102239457278071821e-02,2.281833419030709909e-01
9.630408417880645944e-01,1.004470409895638905e-01,9.289093640792868423e-02,2.320215570541555583e-01
9.617280433997833500e-01,1.023340867865263626e-01,9.477698949802633444e-02,2.358478905601729680e-01
9.603937036949500294e-01,1.042061634570551759e-01,9.668038522904820464e-02,2.396620798387194828e-01
9.590379628250274013e-01,1.060630846994526644e-01,9.860095774284385883e-02,2.434638762869184292e-01
9.576609605122556879e-01,1.079046718183092890e-01,1.005385436391658255e-01,2.472530439720452833e-01
9.562628361127397669e-01,1.097307530498309591e-01,1.024929817025822254e-01,2.510293584552421575e-01
9.548437286785212974e-01,1.115411629573253155e-01,1.044641126523705443e-01,2.547926057348972595e-01
9.534037770181195137e-01,1.133357418896533547e-01,1.064517789136234655e-01,2.585425812976092086e-01
9.519431197551319057e-01,1.151143354961836340e-01,1.084558244079241729e-01,2.622790892658743434e-01
9.504618953845800355e-01,1.168767942924433534e-01,1.104760943620651525e-01,2.660019416327211172e-01
9.489602423267718967e-01,1.186229732712533180e-01,1.125124351333960382e-01,2.697109575745033072e-01
9.474382989785095077e-01,1.203527315546637638e-01,1.145646940504891076e-01,2.734059628339462478e-01
9.458962037615429308e-01,1.220659320824867139e-01,1.166327192679067620e-01,2.770867891663347238e-01
9.443340951682007711e-01,1.237624413336499835e-01,1.187163596339466665e-01,2.807532738424501351e-01
9.427521118041826131e-01,1.254421290769827668e-01,1.208154645703237856e-01,2.844052592025056447e-01
9.411503924285222755e-01,1.271048681483918086e-01,1.229298839628266415e-01,2.880425922559098906e-01
9.395290759907578559e-01,1.287505342516954698e-01,1.250594680620595867e-01,2.916651243222108114e-01
9.378883016653662974e-01,1.303790057806656355e-01,1.272040673934489718e-01,2.952727107090372116e-01
9.362282088835391924e-01,1.319901636600777362e-01,1.293635326757568149e-01,2.988652104232850104e-01
9.345489373623805385e-01,1.335838912037939918e-01,1.315377147474020014e-01,3.024424859121638831e-01
9.328506271316286957e-01,1.351600739881104740e-01,1.337264644999456298e-01,3.060044028310712205e-01
9.311334185579995815e-01,1.367185997387765362e-01,1.359296328181464064e-01,3.095508298355620913e-01
9.293974523672614563e-01,1.382593582302635571e-01,1.381470705260403053e-01,3.130816383949608928e-01
9.276428696641458860e-01,1.397822411960019107e-01,1.403786283385409228e-01,3.165967026254078442e-01
9.258698119502114521e-01,1.412871422484409389e-01,1.426241568180979802e-01,3.200958991403597964e-01
9.240784211397621295e-01,1.427739568079019750e-01,1.448835063359891207e-01,3.235791069167618383e-01
9.222688395739342404e-01,1.442425820393022085e-01,1.471565270378531465e-01,3.270462071752879285e-01
9.204412100330562341e-01,1.456929167959225002e-01,1.494430688131066776e-01,3.304970832732129216e-01
9.185956757473809908e-01,1.471248615694767392e-01,1.517429812679136347e-01,3.339316206086213601e-01
9.167323804062986747e-01,1.485383184458178296e-01,1.540561137014052617e-01,3.373497065347911272e-01
9.148514681661149561e-01,1.499331910656843958e-01,1.563823150848735466e-01,3.407512302837074070e-01
9.129530836564965224e-01,1.513093845899534107e-01,1.587214340436820248e-01,3.441360828977699238e-01
9.110373719856661445e-01,1.526668056689197417e-01,1.610733188416626493e-01,3.475041571688480824e-01
9.091044787444325648e-01,1.540053624151734024e-01,1.634378173677827339e-01,3.508553475839293334e-01
9.071545500091352521e-01,1.553249643796894564e-01,1.658147771248876801e-01,3.541895502766777004e-01
9.051877323435771894e-01,1.566255225307859877e-01,1.682040452203387437e-01,3.575066629842930666e-01
9.032041728000185232e-01,1.579069492356410531e-01,1.706054683583828613e-01,3.608065850091208282e-01
9.012040189192969120e-01,1.591691582440922792e-01,1.730188928341027110e-01,3.640892171845189207e-01
8.991874187301381882e-01,1.604120646744697787e-01,1.754441645288113416e-01,3.673544618445408472e-01
8.971545207477141792e-01,1.616355850012423656e-01,1.778811289067631085e-01,3.706022227970319216e-01
8.951054739715055275e-01,1.628396370442754260e-01,1.803296310130686197e-01,3.738324052997886171e-01
8.930404278825198050e-01,1.640241399595254168e-01,1.827895154727059990e-01,3.770449160394518384e-01
8.909595324399121052e-01,1.651890142310081244e-01,1.852606264905343192e-01,3.802396631128528437e-01
8.888629380770556310e-01,1.663341816639000992e-01,1.877428078522198340e-01,3.834165560105476378e-01
8.867507956971022454e-01,1.674595653786446481e-01,1.902359029259960144e-01,3.865755056023111313e-01
8.846232566680717335e-01,1.685650898059470326e-01,1.927397546651830884e-01,3.897164241243790683e-01
8.824804728175079660e-01,1.696506806825577307e-01,1.952542056114005831e-01,3.928392251682530367e-01
8.803225964267333836e-01,1.707162650477505317e-01,1.977790978984121373e-01,3.959438236708980319e-01
8.781497802247349993e-01,1.717617712404143071e-01,2.003142732565458828e-01,3.990301359061829145e-01
8.759621773817096724e-01,1.727871288966846552e-01,2.028595730176402656e-01,4.020980794774271505e-01
8.737599415022948568e-01,1.737922689480490002e-01,2.054148381204684293e-01,4.051475733109320410e-01
8.715432266185125787e-01,1.747771236198673028e-01,2.079799091165987490e-01,4.081785376503877516e-01
8.693121871824460722e-01,1.757416264302548159e-01,2.105546261766531591e-01,4.111908940520574984e-01
8.670669780586729436e-01,1.766857121892805027e-01,2.131388290969273569e-01,4.141845653806501826e-01
8.648077545164730706e-01,1.776093169984374331e-01,2.157323573063410493e-01,4.171594758058041474e-01
8.625346722218298900e-01,1.785123782503501844e-01,2.183350498736890688e-01,4.201155507991080063e-01
8.602478872292428358e-01,1.793948346286826645e-01,2.209467455151658266e-01,4.230527171315981994e-01
8.579475559733638068e-01,1.802566261082176879e-01,2.235672826021395942e-01,4.259709028716742729e-01
8.556338352604752062e-01,1.810976939550810738e-01,2.261964991691529092e-01,4.288700373833795876e-01
8.533068822598208758e-01,1.819179807270863980e-01,2.288342329221306204e-01,4.317500513250042693e-01
8.509668544948015834e-01,1.827174302741784440e-01,2.314803212467751170e-01,4.346108766479661600e-01
8.486139098340484965e-01,1.834959877389557015e-01,2.341346012171328372e-01,4.374524465959341302e-01
8.462482064823818595e-01,1.842535995572563978e-01,2.367969096043166521e-01,4.402746957041607789e-01
8.438699029716680844e-01,1.849902134587901870e-01,2.394670828853691091e-01,4.430775597989932146e-01
8.414791581515818075e-01,1.857057784678043111e-01,2.421449572522546001e-01,4.458609759975366571e-01
8.390761311802797939e-01,1.864002449037696629e-01,2.448303686209680752e-01,4.486248827074458267e-01
8.366609815149989027e-01,1.870735643820777283e-01,2.475231526407495886e-01,4.513692196268232482e-01
8.342338689025791121e-01,1.877256898147375008e-01,2.502231447033955725e-01,4.540939277442047617e-01
8.317949533699224851e-01,1.883565754110633483e-01,2.529301799526560424e-01,4.567989493386143129e-01
8.293443952143925157e-01,1.889661766783474750e-01,2.556440932937119048e-01,4.594842279796740314e-01
8.268823549941580753e-01,1.895544504225084026e-01,2.583647194027226535e-01,4.621497085277545547e-01
8.244089935184893969e-01,1.901213547487105027e-01,2.610918927364390130e-01,4.647953371341520534e-01
8.219244718380089854e-01,1.906668490619483347e-01,2.638254475418735367e-01,4.674210612412843524e-01
8.194289512349017812e-01,1.911908940675908219e-01,2.665652178660232741e-01,4.700268295828907705e-01
8.169225932130904644e-01,1.916934517718815179e-01,2.693110375656397881e-01,4.726125921842322386e-01
8.144055594883764515e-01,1.921744854823903559e-01,2.720627403170410852e-01,4.751783003622805923e-01
8.118780119785528049e-01,1.926339598084139959e-01,2.748201596259609025e-01,4.777239067258873817e-01
8.093401127934928274e-01,1.930718406613208815e-01,2.775831288374319139e-01,4.802493651759338067e-01
8.067920242252117902e-01,1.934880952548392874e-01,2.803514811456981892e-01,4.827546309054452367e-01
8.042339087379125617e-01,1.938826921052849150e-01,2.831250496041536335e-01,4.852396603996749214e-01
8.016659289580106984e-01,1.942556010317263437e-01,2.859036671353042403e-01,4.877044114361460680e-01
7.990882476641468779e-01,1.946067931560869213e-01,2.886871665407487741e-01,4.901488430846500099e-01
7.965010277771844560e-01,1.949362409031800136e-01,2.914753805111779394e-01,4.925729157071976894e-01
7.939044323501966982e-01,1.952439180006774189e-01,2.942681416363872038e-01,4.949765909579199041e-01
7.912986245584455736e-01,1.955297994790090310e-01,2.970652824153020566e-01,4.973598317829128757e-01
7.886837676893537763e-01,1.957938616711928648e-01,2.998666352660129819e-01,4.997226024200295824e-01
7.860600251324705301e-01,1.960360822125935543e-01,3.026720325358187025e-01,5.020648683986098648e-01
7.834275603694341727e-01,1.962564400406102694e-01,3.054813065112746973e-01,5.043865965391504114e-01
7.807865369639332975e-01,1.964549153942905524e-01,3.082942894282459934e-01,5.066877549529134050e-01
7.781371185516660072e-01,1.966314898138720735e-01,3.111108134819629001e-01,5.089683130414689449e-01
7.754794688303022765e-01,1.967861461402503065e-01,3.139307108370765209e-01,5.112282414961720756e-01
7.728137515494443166e-01,1.969188685143711259e-01,3.167538136377138214e-01,5.134675122975728145e-01
7.701401305005952658e-01,1.970296423765496852e-01,3.195799540175313647e-01,5.156860987147583453e-01
7.674587695071283244e-01,1.971184544657131332e-01,3.224089641097644399e-01,5.178839753046251548e-01
7.647698324142641058e-01,1.971852928185680032e-01,3.252406760572716382e-01,5.200611179110804505e-01
7.620734830790532044e-01,1.972301467686926046e-01,3.280749220225738227e-01,5.222175036641741874e-01
7.593698853603680909e-01,1.972530069455525337e-01,3.309115341978857150e-01,5.243531109791573774e-01
7.566592031089020010e-01,1.972538652734395215e-01,3.337503448151390439e-01,5.264679195554702318e-01
7.539416001571788151e-01,1.972327149703357874e-01,3.365911861559966467e-01,5.285619103756551418e-01
7.512172403095744855e-01,1.971895505467003706e-01,3.394338905618560220e-01,5.306350657041987162e-01
7.484862873323475663e-01,1.971243678041789682e-01,3.422782904438417262e-01,5.326873690862984345e-01
7.457489049436848427e-01,1.970371638342385823e-01,3.451242182927852786e-01,5.347188053465560253e-01
7.430052568037590621e-01,1.969279370167240639e-01,3.479715066891924113e-01,5.367293605875966822e-01
7.402555065048007643e-01,1.967966870183390782e-01,3.508199883131955521e-01,5.387190221886136721e-01
7.374998175611855444e-01,1.966434147910502417e-01,3.536694959544921524e-01,5.406877788038383370e-01
7.347383533995369698e-01,1.964681225704145717e-01,3.565198625222669171e-01,5.426356203609355999e-01
7.319712773488467050e-01,1.962708138738313290e-01,3.593709210550976030e-01,5.445625380593239750e-01
7.291987526306097367e-01,1.960514934987161173e-01,3.622225047308433865e-01,5.464685243684213045e-01
7.264209423489809136e-01,1.958101675206005421e-01,3.650744468765157458e-01,5.483535730258161101e-01
7.236380094809475860e-01,1.955468432911544041e-01,3.679265809781299690e-01,5.502176790353615621e-01
7.208501168665227832e-01,1.952615294361323972e-01,3.707787406905372340e-01,5.520608386651986166e-01
