ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.621838825372461712e-01,4.173120381587420269e+00,-1.043757245599114869e+00
2.548859100093398555e-01,4.162813932129600936e+00,-1.065518089664494461e+00
2.475962995750204121e-01,4.152381416771639522e+00,-1.087199355930772215e+00
2.403150734397078714e-01,4.141823402805654197e+00,-1.108800255270158797e+00
2.330422537832777252e-01,4.131140462710400918e+00,-1.130320002480732944e+00
2.257778627600023624e-01,4.120333174124365172e+00,-1.151757816321495431e+00
2.185219224984748798e-01,4.109402119818611254e+00,-1.173112919547229405e+00
2.112744551015479089e-01,4.098347887669398837e+00,-1.194384538943181973e+00
2.040354826462642823e-01,4.087171070630558845e+00,-1.215571905359556615e+00
1.968050271837904208e-01,4.075872266705630409e+00,-1.236674253745813967e+00
1.895831107393467219e-01,4.064452078919764233e+00,-1.257690823184782092e+00
1.823697553121424730e-01,4.052911115291393251e+00,-1.278620856926578231e+00
1.751649828753092109e-01,4.041249988803670590e+00,-1.299463602422332720e+00
1.679688153758351066e-01,4.029469317375672155e+00,-1.320218311357718388e+00
1.607812747344928295e-01,4.017569723833378070e+00,-1.340884239686281898e+00
1.536023828457782903e-01,4.005551835880410749e+00,-1.361460647662577239e+00
1.464321615778397256e-01,3.993416286068561138e+00,-1.381946799875100496e+00
1.392706327724170801e-01,3.981163711768084035e+00,-1.402341965279017444e+00
1.321178182447690641e-01,3.968794755137763808e+00,-1.422645417228694198e+00
1.249737397836068742e-01,3.956310063094760743e+00,-1.442856433510016023e+00
1.178384191510339629e-01,3.943710287284238891e+00,-1.462974296372505201e+00
1.107118780824724869e-01,3.930996084048767436e+00,-1.482998292561226839e+00
1.035941382866061855e-01,3.918168114397511115e+00,-1.502927713348488403e+00
9.648522144530068123e-02,3.905227043975190604e+00,-1.522761854565322981e+00
8.938514921355210363e-02,3.892173543030843952e+00,-1.542500016632765591e+00
8.229394321941282953e-02,3.879008286386357973e+00,-1.562141504592912788e+00
7.521162506392257974e-02,3.865731953404797139e+00,-1.581685628139762434e+00
6.813821632105353243e-02,3.852345227958515306e+00,-1.601131701649846084e+00
6.107373853763390509e-02,3.838848798397057394e+00,-1.620479044212630670e+00
5.401821323328895308e-02,3.825243357514858555e+00,-1.639726979660712347e+00
4.697166190037240646e-02,3.811529602518729742e+00,-1.658874836599778080e+00
3.993410600390204235e-02,3.797708234995140320e+00,-1.677921948438350741e+00
3.290556698149260662e-02,3.783779960877295512e+00,-1.696867653417308386e+00
2.588606624329341938e-02,3.769745490412017119e+00,-1.715711294639176820e+00
1.887562517192098444e-02,3.755605538126411957e+00,-1.734452220097194575e+00
1.187426512239429799e-02,3.741360822794353780e+00,-1.753089782704153166e+00
4.882007422070277873e-03,3.727012067402758255e+00,-1.771623340321000661e+00
-2.101126629420558677e-03,3.712559999117666987e+00,-1.790052255785220758e+00
-9.075115760241524165e-03,3.698005349250135243e+00,-1.808375896938974492e+00
-1.603993872641274604e-02,3.683348853221924735e+00,-1.826593636657009911e+00
-2.299557431187509993e-02,3.668591250531007653e+00,-1.844704852874336609e+00
-2.994200132855547383e-02,3.653733284716883301e+00,-1.862708928613661996e+00
-3.687919861643396136e-02,3.638775703325698885e+00,-1.880605252012591988e+00
-4.380714504360359862e-02,3.623719257875194000e+00,-1.898393216350588997e+00
-5.072581950633822667e-02,3.608564703819450159e+00,-1.916072220075693000e+00
-5.763520092915680459e-02,3.593312800513464911e+00,-1.933641666830998807e+00
-6.453526826488270585e-02,3.577964311177543433e+00,-1.951100965480890181e+00
-7.142600049471653501e-02,3.562520002861500945e+00,-1.968449530137028836e+00
-7.830737662829143075e-02,3.546980646408704807e+00,-1.985686780184099831e+00
-8.517937570374344014e-02,3.531347016419923435e+00,-2.002812140305310518e+00
-9.204197678777129021e-02,3.515619891217005133e+00,-2.019825040507636782e+00
-9.889515897570079483e-02,3.499800052806394390e+00,-2.036724916146825493e+00
-1.057389013915515791e-01,3.483888286842460769e+00,-2.053511207952143813e+00
-1.125731831880981554e-01,3.467885382590667032e+00,-2.070183362050874720e+00
-1.193979835469316658e-01,3.451792132890571629e+00,-2.086740829992566937e+00
-1.262132816785267453e-01,3.435609334118657099e+00,-2.103183068773021525e+00
-1.330190568223030001e-01,3.419337786151003034e+00,-2.119509540858030228e+00
-1.398152882466903446e-01,3.402978292325786303e+00,-2.135719714206852693e+00
-1.466019552491869271e-01,3.386531659405632499e+00,-2.151813062295444112e+00
-1.533790371564316968e-01,3.369998697539796417e+00,-2.167789064139410637e+00
-1.601465133242548911e-01,3.353380220226196418e+00,-2.183647204316721435e+00
-1.669043631377511994e-01,3.336677044273281822e+00,-2.199386972990146738e+00
-1.736525660113380498e-01,3.319889989761756421e+00,-2.215007865929443209e+00
-1.803911013888200299e-01,3.303019880006144771e+00,-2.230509384533266637e+00
-1.871199487434486719e-01,3.286067541516210166e+00,-2.245891035850835493e+00
-1.938390875779890110e-01,3.269033803958222517e+00,-2.261152332603312498e+00
-2.005484974247777885e-01,3.251919500116085882e+00,-2.276292793204932607e+00
-2.072481578457896212e-01,3.234725465852307913e+00,-2.291311941783860995e+00
-2.139380484326969811e-01,3.217452540068844513e+00,-2.306209308202777919e+00
-2.206181488069331731e-01,3.200101564667790388e+00,-2.320984428079200690e+00
