gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
5.045942500113276452e+01,-5.161329084459821104e+01,1.133087661259301271e+01
4.972225081294971005e+01,-5.215654704372538930e+01,1.112562671615408760e+01
4.896125823031940882e+01,-5.269338358863739558e+01,1.094463210482190973e+01
4.817697211041735272e+01,-5.322286275766244046e+01,1.078807642362139063e+01
4.736992946634280344e+01,-5.374404193323094603e+01,1.065610825375213722e+01
4.654068633285520917e+01,-5.425598170427873868e+01,1.054884361609993526e+01
4.568981327488973676e+01,-5.475774518362215559e+01,1.046636458332933017e+01
4.481789438070374132e+01,-5.524839900215557975e+01,1.040872116886702692e+01
4.392552830667848696e+01,-5.572701215476368475e+01,1.037593090758652004e+01
4.301332845989656306e+01,-5.619266124720230948e+01,1.036797652294717054e+01
4.208192107117633185e+01,-5.664442981142646261e+01,1.038480792112114059e+01
4.113194476013584477e+01,-5.708140840155437701e+01,1.042634297119597520e+01
4.016405204896333458e+01,-5.750269796857872251e+01,1.049246487462246513e+01
3.917890673595797324e+01,-5.790740796844553984e+01,1.058302808198390288e+01
3.817718452797473105e+01,-5.829465963983527388e+01,1.069785246910273102e+01
3.715957336706949121e+01,-5.866358917832663877e+01,1.083672532207901007e+01
3.612677088495951949e+01,-5.901334399817375953e+01,1.099940417275404592e+01
3.507948613172492713e+01,-5.934308630644020610e+01,1.118561557675055873e+01
3.401843566308607336e+01,-5.965199460992625546e+01,1.139505210682859371e+01
3.294434792046247651e+01,-5.993926487083884069e+01,1.162738117102382773e+01
3.185795951925553737e+01,-6.020411045810076445e+01,1.188223708169560489e+01
3.076001557402292974e+01,-6.044576139679166715e+01,1.215922525197792758e+01
2.965126925750412923e+01,-6.066347340504668750e+01,1.245792238325799239e+01
2.853247944901711008e+01,-6.085651566559481296e+01,1.277787972242084891e+01
2.740441260605177476e+01,-6.102418439107596271e+01,1.311861699082042421e+01
2.626784508055305167e+01,-6.116579666158672524e+01,1.347963053200907879e+01
2.512355339992809888e+01,-6.128069248822585990e+01,1.386038896771118445e+01
2.397232335530370761e+01,-6.136823820769613747e+01,1.426033615031566981e+01
2.281494254262733179e+01,-6.142782425691081016e+01,1.467889279541424408e+01
2.165220558786280236e+01,-6.145886675857839521e+01,1.511545256688339123e+01
2.048490853527167133e+01,-6.146080912677135188e+01,1.556938941271125287e+01
1.931385393953529572e+01,-6.143312340826964402e+01,1.604005264024139166e+01
