ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.281410893162201248e+01,-6.142865754939258238e+01,1.467805948154798479e+01
2.165137206311082352e+01,-6.145969991404363242e+01,1.511461932048596069e+01
2.048407572411581512e+01,-6.146164250920780603e+01,1.556855565379748008e+01
1.931302003028454806e+01,-6.143395652241535743e+01,1.603921907801844426e+01
1.813900766182126389e+01,-6.137614149406245900e+01,1.652593899987027015e+01
1.696284331461828998e+01,-6.128772600249877911e+01,1.702802453563032259e+01
1.578533314988046676e+01,-6.116826831555998467e+01,1.754476543462241622e+01
1.460728424263206371e+01,-6.101735700774028714e+01,1.807543302568086929e+01
1.342950402949502298e+01,-6.083461154223999046e+01,1.861928118541179344e+01
1.225279975612675898e+01,-6.061968281716561080e+01,1.917554732704961040e+01
1.107797792470565845e+01,-6.037225367520239416e+01,1.974345340868012499e+01
9.905843741850663520e+00,-6.009203937612303292e+01,2.032220695957819601e+01
8.737200567361092851e+00,-5.977878803154082021e+01,2.091100212338543329e+01
7.572849364161052144e+00,-5.943228100136039416e+01,2.150902071683294281e+01
6.413588149831411123e+00,-5.905233325142561540e+01,2.211543330269457641e+01
5.260211450111097697e+00,-5.863879367191038483e+01,2.272940027563953080e+01
4.113509754746787372e+00,-5.819154535604529599e+01,2.335007295963659857e+01
2.974268976068715098e+00,-5.771050583882092866e+01,2.397659471554891297e+01
1.843269910667727052e+00,-5.719562729535640244e+01,2.460810205754547297e+01
7.212877045459428205e-01,-5.664689669867078692e+01,2.524372577694521880e+01
-3.909086778887437830e-01,-5.606433593664310422e+01,2.588259207210038682e+01
-1.492556980617791629e+00,-5.544800188799666074e+01,2.652382368291893400e+01
-2.582902178232663548e+00,-5.479798645719202455e+01,2.716654102862009523e+01
-3.661196993221042195e+00,-5.411441656816300849e+01,2.780986334731373688e+01
-4.726702407961568042e+00,-5.339745411687942322e+01,2.845290983599213064e+01
-5.778688171074542801e+00,-5.264729588276988892e+01,2.909480078952233839e+01
-6.816433297779506795e+00,-5.186417339908798141e+01,2.973465873722925323e+01
-7.839226563915490331e+00,-5.104835278235398022e+01,3.037160957566246111e+01
-8.846366993283677260e+00,-5.020013452105451535e+01,3.100478369614493701e+01
-9.837164337977339912e+00,-4.931985322383090420e+01,3.163331710570867727e+01
-1.081093955136865681e+01,-4.840787732743651617e+01,3.225635254003031349e+01
-1.176702525342725458e+01,-4.746460876479151381e+01,3.287304056699029786e+01
-1.270476618805060376e+01,-4.649048259351193479e+01,3.348254067949084600e+01
-1.362351967209201042e+01,-4.548596658533762138e+01,3.408402237618138741e+01
-1.452265603577780162e+01,-4.445156077693063423e+01,3.467666622875540128e+01
-1.540155905421104343e+01,-4.338779698256286110e+01,3.525966493449937644e+01
-1.625962636966566066e+01,-4.229523826925696284e+01,3.583222435279270712e+01
-1.709626990438081862e+01,-4.117447839499087081e+01,3.639356452427804101e+01
-1.791091626357234290e+01,-4.002614121062008934e+01,3.694292067144236569e+01
-1.870300712838449186e+01,-3.885088002621625236e+01,3.747954417937241800e+01
-1.947199963851228333e+01,-3.764937694256337153e+01,3.800270355547355905e+01
-2.021736676423208223e+01,-3.642234214859518460e+01,3.851168536696540201e+01
-2.093859766758486529e+01,-3.517051318559832396e+01,3.900579515499720884e+01
-2.163519805246449934e+01,-3.389465417904622058e+01,3.948435832425354164e+01
-2.230669050337104409e+01,-3.259555503896753947e+01,3.994672100695153460e+01
-2.295261481259630187e+01,-3.127403062979166037e+01,4.039225090016289244e+01
-2.357252829561753060e+01,-2.993091991064956758e+01,4.082033807542652681e+01
-2.416600609448292047e+01,-2.856708504714534769e+01,4.123039575965223946e+01
-2.473264146898056026e+01,-2.718341049564734035e+01,4.162186108635110315e+01
-2.527204607539158232e+01,-2.578080206118121609e+01,4.199419581626488451e+01
-2.578385023263595954e+01,-2.436018593003971944e+01,4.234688702650500147e+01
-2.626770317562861834e+01,-2.292250767825373714e+01,4.267944776734984913e+01
-2.672327329567222876e+01,-2.146873125709890928e+01,4.299141768588962265e+01
-2.715024836772158423e+01,-1.999983795683994003e+01,4.328236361574863622e+01
-2.754833576436402964e+01,-1.851682534994044005e+01,4.355188013215693132e+01
-2.791726265636897963e+01,-1.702070621499196434e+01,4.379959007168552176e+01
-2.825677619966920773e+01,-1.551250744263803405e+01,4.402514501600394681e+01
