q0 (),q1,q2,q3
4.679602295235349985e-01,-8.723448060840619522e-01,-8.820351746165212836e-02,-1.106702416633882219e-01
4.735379993199859694e-01,-8.708291444726893316e-01,-9.399364754514999420e-02,-9.264749623247789390e-02
4.786485307429866887e-01,-8.691442916033103039e-01,-9.964007589024079237e-02,-7.453616348824974869e-02
4.832889653189296753e-01,-8.672960566479851474e-01,-1.051384235134175671e-01,-5.634925043801796568e-02
4.874568116819397723e-01,-8.652903722764296868e-01,-1.104845225485854843e-01,-3.809985128326107140e-02
4.911499482361005309e-01,-8.631332874743223860e-01,-1.156744197352657932e-01,-1.980113684499749949e-02
4.943666255087822980e-01,-8.608309602626739165e-01,-1.207043796713426625e-01,-1.466343908689264619e-03
4.971054681926093122e-01,-8.583896503257867350e-01,-1.255708878275153262e-01,1.689123550217318248e-02
4.993654768738816085e-01,-8.558157115554084760e-01,-1.302706533208612960e-01,3.525826491457836886e-02
5.011460294455543085e-01,-8.531155845187696762e-01,-1.348006114451453241e-01,5.362137424729674501e-02
5.024468822031561421e-01,-8.502957888582554080e-01,-1.391579259557648718e-01,7.196717069563213220e-02
5.032681706223126605e-01,-8.473629156305332311e-01,-1.433399911074626776e-01,9.028224965022212112e-02
5.036104098168251442e-01,-8.443236195929961774e-01,-1.473444334431846525e-01,1.085532056404507617e-01
5.034744946765363771e-01,-8.411846114454498702e-01,-1.511691133327094649e-01,1.267666432930056319e-01
5.028616996845157727e-01,-8.379526500349808726e-01,-1.548121262599302383e-01,1.449091882960905353e-01
5.017736784133581818e-01,-8.346345345319966524e-01,-1.582718038579116193e-01,1.629674983597888538e-01
5.002124627007020763e-01,-8.312370965854330995e-01,-1.615467146911065410e-01,1.809282741630735825e-01
4.981804615043396445e-01,-8.277671924651516244e-01,-1.646356647843586762e-01,1.987782702779557487e-01
4.956804594375918693e-01,-8.242316951995367624e-01,-1.675376978985797516e-01,2.165043060612882875e-01
4.927156149858925027e-01,-8.206374867163206410e-01,-1.702520955532312030e-01,2.340932765047471220e-01
4.892894584058214980e-01,-8.169914499946362429e-01,-1.727783767959986394e-01,2.515321630335564107e-01
4.854058893081061310e-01,-8.133004612362878527e-01,-1.751162977202988524e-01,2.688080442445566209e-01
4.810691739263862621e-01,-8.095713820642034264e-01,-1.772658507315036380e-01,2.859081065742565819e-01
4.762839420738292362e-01,-8.058110517559888830e-01,-1.792272635630193234e-01,3.028196548875790595e-01
4.710551837899486505e-01,-8.020262795204804451e-01,-1.810009980436060317e-01,3.195301229780571628e-01
4.653882456802627687e-01,-7.982238368251192151e-01,-1.825877486175697118e-01,3.360270839703254353e-01
4.592888269517038657e-01,-7.944104497819307609e-01,-1.839884406196961031e-01,3.522982606158178709e-01
4.527629751469540165e-01,-7.905927915998224309e-01,-1.852042283070546302e-01,3.683315354726862667e-01
4.458170815811568488e-01,-7.867774751108349562e-01,-1.862364926500221229e-01,3.841149609610356452e-01
4.384578764847215093e-01,-7.829710453779104018e-01,-1.870868388851237851e-01,3.996367692846876096e-01
4.306924238561908869e-01,-7.791799723916453813e-01,-1.877570938325285321e-01,4.148853822107941847e-01
4.225281160294079297e-01,-7.754106438634094101e-01,-1.882493029812559449e-01,4.298494206987412691e-01
4.139726679594735170e-01,-7.716693581220995801e-01,-1.885657273453865412e-01,4.445177143699087230e-01
4.050341112322303760e-01,-7.679623171217000444e-01,-1.887088400948022660e-01,4.588793108100002183e-01
3.957207878022642733e-01,-7.642956195666936736e-01,-1.886813229641873257e-01,4.729234846957838800e-01
3.860413434646468023e-01,-7.606752541622526786e-01,-1.884860624442530608e-01,4.866397467382457820e-01
3.760047210658903349e-01,-7.571070929960069806e-01,-1.881261457593618458e-01,5.000178524343159570e-01
3.656201534598092495e-01,-7.535968850580465617e-01,-1.876048566359291847e-01,5.130478106194853449e-01
3.548971562142234637e-01,-7.501502499056806883e-01,-1.869256708661936051e-01,5.257198918138111798e-01
3.438455200746415308e-01,-7.467726714793163634e-01,-1.860922516721478515e-01,5.380246363539816778e-01
3.324753031912994761e-01,-7.434694920756764747e-01,-1.851084448746146416e-01,5.499528623042988507e-01
3.207968231161304473e-01,-7.402459064844018055e-01,-1.839782738726455646e-01,5.614956731396298917e-01
3.088206485764465326e-01,-7.371069562939313036e-01,-1.827059344386083584e-01,5.726444651935739261e-01
2.965575910323190456e-01,-7.340575243723611587e-01,-1.812957893345052696e-01,5.833909348652985827e-01
2.840186960248300974e-01,-7.311023295288285873e-01,-1.797523627552470860e-01,5.937270855787034618e-01
2.712152343225631146e-01,-7.282459213607609394e-01,-1.780803346047681590e-01,6.036452344877971665e-01
2.581586928738711650e-01,-7.254926752921546651e-01,-1.762845346110413491e-01,6.131380189223754051e-01
2.448607655726457999e-01,-7.228467878078550513e-01,-1.743699362861999835e-01,6.221984025683369168e-01
2.313333438454657776e-01,-7.203122718885978104e-01,-1.723416507381324847e-01,6.308196813771886902e-01
2.175885070681717604e-01,-7.178929526513856407e-01,-1.702049203400642363e-01,6.389954891995341946e-01
2.036385128200675632e-01,-7.155924631995514984e-01,-1.679651122647615458e-01,6.467198031375842593e-01
1.894957869840794562e-01,-7.134142406866588182e-01,-1.656277118901559597e-01,6.539869486119687103e-01
1.751729137013684490e-01,-7.113615225981655410e-01,-1.631983160832787827e-01,6.607916041383810057e-01
1.606826251889926782e-01,-7.094373432545633129e-01,-1.606826263695420587e-01,6.671288058098426843e-01
1.460377914293587431e-01,-7.076445305394810648e-01,-1.580864419945012256e-01,6.729939514806293488e-01
1.312514097403141844e-01,-7.059857028560091452e-01,-1.554156528853370967e-01,6.783828046481656937e-01
1.163365942348247861e-01,-7.044632663142776918e-01,-1.526762325194058745e-01,6.832914980294580998e-01
1.013065651793042532e-01,-7.030794121530878904e-01,-1.498742307072804536e-01,6.877165368289037684e-01
8.617463825972893066e-02,-7.018361143981547423e-01,-1.470157662978032187e-01,6.916548016945842647e-01
7.095421376477639708e-02,-7.007351277592929195e-01,-1.441070198127380464e-01,6.951035513604293392e-01
5.565876569527905549e-02,-6.997779857686217131e-01,-1.411542260186824937e-01,6.980604249719040144e-01
4.030183080937355111e-02,-6.989659991616409274e-01,-1.381636664439572781e-01,7.005234440931613626e-01
2.489699761276081835e-02,-6.983002545027685581e-01,-1.351416618482504384e-01,7.024910143938722928e-01
9.457895303560559519e-03,-6.977816130567006114e-01,-1.320945646528340900e-01,7.039619270142341012e-01
-6.001817318723734473e-03,-6.974107099066937376e-01,-1.290287513392102126e-01,7.049353596069347638e-01
-2.146846297058457864e-02,-6.971879533206346569e-01,-1.259506148240741585e-01,7.054108770551406060e-01
-3.692835701865992970e-02,-6.971135243655037783e-01,-1.228665568185106083e-01,7.053884318658565356e-01
-5.236781862105355234e-02,-6.971873767705968339e-01,-1.197829801793385274e-01,7.048683642382898018e-01
-6.777318186625025387e-02,-6.974092370396128837e-01,-1.167062812605489386e-01,7.038514018071446721e-01
-8.313080690001167783e-02,-6.977786048114766881e-01,-1.136428422727581711e-01,7.023386590610480873e-01
-9.842709103068286725e-02,-6.982947534695018721e-01,-1.105990236586072428e-01,7.003316364366012348e-01
1.136484798033388643e-01,6.989567309982647192e-01,1.075811564920123864e-01,-6.978322190888369692e-01
1.287814780332363629e-01,6.997633610872990850e-01,1.045955349091516329e-01,-6.948426753391373500e-01
1.438126607890622410e-01,7.007132444804848870e-01,1.016484085790347880e-01,-6.913656548019664339e-01
1.587286843165348071e-01,7.018047605697491642e-01,9.874597522147787743e-02,-6.874041861920379137e-01
1.735162968929394589e-01,7.030360692314551185e-01,9.589437318024157664e-02,-6.829616748138318538e-01
1.881623496032643339e-01,7.044051129036160708e-01,9.309967405904651105e-02,-6.780418997356447708e-01
2.026538070286597881e-01,7.059096189018210232e-01,9.036787542811569596e-02,-6.726490106506402000e-01
2.169777578380277794e-01,7.075471019715270371e-01,8.770489360882066654e-02,-6.667875244276402213e-01
2.311214252736268071e-01,7.093148670741304951e-01,8.511655654393684989e-02,-6.604623213546695348e-01
2.450721775216852805e-01,7.112100124039966165e-01,8.260859676092185966e-02,-6.536786410785331292e-01
2.588175379591004521e-01,7.132294326333971091e-01,8.018664443554690546e-02,-6.464420782439824764e-01
2.723451952674296184e-01,7.153698223820695867e-01,7.785622056310376182e-02,-6.387585778362753208e-01
2.856430134054803727e-01,7.176276799078955548e-01,7.562273024431093171e-02,-6.306344302312105743e-01
2.986990414319478093e-01,7.199993110149626174e-01,7.349145609292595527e-02,-6.220762659569615272e-01
3.115015231696684483e-01,7.224808331750638413e-01,7.146755177195102116e-02,-6.130910501722934836e-01
3.240389067032082293e-01,7.250681798584692750e-01,6.955603566519319436e-02,-6.036860768659968457e-01
3.362998537016481659e-01,7.277571050695932353e-01,6.776178469080640365e-02,-5.938689627826090334e-01
3.482732485585854354e-01,7.305431880829746927e-01,6.608952826330341535e-02,-5.836476410797418746e-01
3.599482073415346539e-01,7.334218383747879155e-01,6.454384241037741665e-02,-5.730303547225631400e-01
3.713140865430777371e-01,7.363883007448972506e-01,6.312914405072508894e-02,-5.620256496212119313e-01
3.823604916262929310e-01,7.394376606242845096e-01,6.184968543889604597e-02,-5.506423675171522314e-01
3.930772853571707914e-01,7.425648495624808110e-01,6.070954878303891356e-02,-5.388896386246885273e-01
4.034545959169227869e-01,7.457646508894605342e-01,5.971264104123627514e-02,-5.267768740340772471e-01
4.134828247872727736e-01,7.490317055462715201e-01,5.886268890194729098e-02,-5.143137578828838041e-01
4.231526544020342007e-01,7.523605180785070123e-01,5.816323395389549900e-02,-5.015102393024271077e-01
4.324550555584777967e-01,7.557454627865566321e-01,5.761762805055364867e-02,-4.883765241463550177e-01
4.413812945822083167e-01,7.591807900264163633e-01,5.722902887418018780e-02,-4.749230665085854008e-01
4.499229402394921973e-01,7.626606326546805370e-01,5.700039570417414492e-02,-4.611605600380196401e-01
4.580718703911986212e-01,7.661790126111918120e-01,5.693448539430373545e-02,-4.470999290576258556e-01
4.658202783827444793e-01,7.697298476326831507e-01,5.703384856316490170e-02,-4.327523194956472974e-01
4.731606791646783550e-01,7.733069580906142271e-01,5.730082600201366616e-02,-4.181290896368590193e-01
4.800859151387614210e-01,7.769040739462673706e-01,5.773754530389801909e-02,-4.032418007019497597e-01
4.865891617246655976e-01,7.805148418160574586e-01,5.834591771780231473e-02,-3.881022072632533959e-01
4.926639326426427434e-01,7.841328321398860490e-01,5.912763523129119236e-02,-3.727222475051930606e-01
4.983040849077792767e-01,7.877515464452647942e-01,6.008416788491410809e-02,-3.571140333379412279e-01
5.035038235317034205e-01,7.913644246998382537e-01,6.121676132140375926e-02,-3.412898403729118790e-01
5.082577059278718945e-01,7.949648527448299751e-01,6.252643457246924441e-02,-3.252620977688336357e-01
5.125606460168283807e-01,7.985461698018612164e-01,6.401397808574865733e-02,-3.090433779572471229e-01
5.164079180280896075e-01,8.021016760455045302e-01,6.567995199425087638e-02,-2.926463862563815077e-01
5.197951599955856761e-01,8.056246402338674839e-01,6.752468463037095137e-02,-2.760839503824588648e-01
5.227183769438503713e-01,8.091083073894345112e-01,6.954827128632801170e-02,-2.593690098675527356e-01
5.251739437624352025e-01,8.125459065223387123e-01,7.175057322262363979e-02,-2.425146053932140111e-01
5.271586077662969716e-01,8.159306583881882347e-01,7.413121692587951173e-02,-2.255338680491371650e-01
