ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
-4.649873037753263105e+01,-6.549873037753256710e+01,-1.404995767925108510e+02
-4.499885733977935587e+01,-6.399885733977934166e+01,-1.399996191132597687e+02
-4.349897160580138689e+01,-6.249897160580137978e+01,-1.394996572019337862e+02
-4.199907444522125388e+01,-6.099907444522124678e+01,-1.389996914817404274e+02
-4.049916700069912423e+01,-5.949916700069911712e+01,-1.384997223335663818e+02
-3.899925030062923526e+01,-5.799925030062917841e+01,-1.379997501002097238e+02
-3.749932527056633802e+01,-5.649932527056627407e+01,-1.374997750901887628e+02
-3.599939274350970919e+01,-5.499939274350964524e+01,-1.369997975811699007e+02
-3.449945346915873046e+01,-5.349945346915866651e+01,-1.364998178230528936e+02
-3.299950812224288654e+01,-5.199950812224282259e+01,-1.359998360407476241e+02
-3.149955731001856662e+01,-5.049955731001855241e+01,-1.354998524366728532e+02
-2.999960157901671565e+01,-4.899960157901667657e+01,-1.349998671930055707e+02
-2.849964142111504728e+01,-4.749964142111500820e+01,-1.344998804737050193e+02
-2.699967727900351733e+01,-4.599967727900350667e+01,-1.339998924263345259e+02
-2.549970955110319437e+01,-4.449970955110315884e+01,-1.334999031837010648e+02
-2.399973859599285930e+01,-4.299973859599285220e+01,-1.329999128653309413e+02
-2.249976473639357977e+01,-4.149976473639356556e+01,-1.324999215787978812e+02
-2.099978826275421540e+01,-3.999978826275420118e+01,-1.319999294209180789e+02
-1.949980943647880594e+01,-3.849980943647877041e+01,-1.314999364788262710e+02
-1.799982849283089692e+01,-3.699982849283088626e+01,-1.309999428309436382e+02
-1.649984564354780048e+01,-3.549984564354778627e+01,-1.304999485478493000e+02
-1.499986107919303180e+01,-3.399986107919299627e+01,-1.299999536930643842e+02
-1.349987497127375313e+01,-3.249987497127369096e+01,-1.294999583237579373e+02
-1.199988747414635704e+01,-3.099988747414631973e+01,-1.289999624913821208e+02
-1.049989872673172009e+01,-2.949989872673168279e+01,-1.284999662422439428e+02
-8.999908854058514152e+00,-2.799990885405850349e+01,-1.279999696180195201e+02
-7.499917968652679789e+00,-2.649991796865264249e+01,-1.274999726562175937e+02
-5.999926171787402396e+00,-2.499992617178736509e+01,-1.269999753905957931e+02
-4.499933554608677611e+00,-2.349993355460861721e+01,-1.264999778515362152e+02
-2.999940199147793862e+00,-2.199994019914775834e+01,-1.259999800663826193e+02
-1.499946179233007770e+00,-2.049994617923297113e+01,-1.254999820597443687e+02
4.843869028034080749e-05,-1.899995156130965768e+01,-1.249999838537699048e+02
1.500043594821281134e+00,-1.749995640517868267e+01,-1.244999854683929215e+02
3.000039235339157173e+00,-1.599996076466080552e+01,-1.239999869215536279e+02
4.500035311805282490e+00,-1.449996468819470685e+01,-1.234999882293982552e+02
6.000031780624734523e+00,-1.299996821937522817e+01,-1.229999894064584112e+02
7.500028602562292868e+00,-1.149997139743769559e+01,-1.224999904658126155e+02
9.000025742306066334e+00,-9.999974257693923008e+00,-1.219999914192313355e+02
1.050002316807544211e+01,-8.499976831924520582e+00,-1.214999922773081806e+02
1.200002085126792295e+01,-6.999979148732065504e+00,-1.209999930495773697e+02
1.350001876614111573e+01,-5.499981233858847851e+00,-1.204999937446196441e+02
1.500001688952699475e+01,-3.999983110472943082e+00,-1.199999943701576797e+02
1.650001520057430326e+01,-2.499984799425635895e+00,-1.194999949331418918e+02
1.800001368051690065e+01,-9.999863194830633795e-01,-1.189999954398276998e+02
1.950001231246522693e+01,5.000123124652652296e-01,-1.184999958958449753e+02
2.100001108121873017e+01,2.000011081218741715e+00,-1.179999963062604138e+02
2.250000997309684792e+01,3.500009973096883886e+00,-1.174999966756343923e+02
2.400000897578716774e+01,5.000008975787205046e+00,-1.169999970080709346e+02
2.550000807820843818e+01,6.500008078208500351e+00,-1.164999973072638682e+02
2.700000727038765902e+01,8.000007270387669678e+00,-1.159999975765374387e+02
2.850000654334889560e+01,9.500006543348906263e+00,-1.154999978188837275e+02
3.000000588901399823e+01,1.100000588901403731e+01,-1.149999980369953647e+02
3.150000530011262967e+01,1.250000530011264210e+01,-1.144999982332958126e+02
3.300000477010134148e+01,1.400000477010137878e+01,-1.139999984099662527e+02
3.450000429309122296e+01,1.550000429309126204e+01,-1.134999985689695876e+02
3.600000386378209782e+01,1.700000386378213690e+01,-1.129999987120726388e+02
3.750000347740390083e+01,1.850000347740393636e+01,-1.124999988408654019e+02
3.900000312966348304e+01,2.000000312966354343e+01,-1.119999989567788390e+02
4.050000281669716173e+01,2.150000281669720081e+01,-1.114999990611009508e+02
4.200000253502745551e+01,2.300000253502749104e+01,-1.109999991549908600e+02
4.350000228152468651e+01,2.450000228152474691e+01,-1.104999992394917712e+02
4.500000205337225623e+01,2.600000205337227044e+01,-1.099999993155425670e+02
4.650000184803504766e+01,2.750000184803505832e+01,-1.094999993839883388e+02
4.800000166323149386e+01,2.900000166323155781e+01,-1.089999994455895092e+02
4.950000149690838924e+01,3.050000149690840345e+01,-1.084999995010305298e+02
5.100000134721755529e+01,3.200000134721756240e+01,-1.079999995509274555e+02
5.250000121249578200e+01,3.350000121249581753e+01,-1.074999995958347370e+02
5.400000109124622583e+01,3.500000109124623293e+01,-1.069999996362512746e+02
5.550000098212160538e+01,3.650000098212161959e+01,-1.064999996726261600e+02
5.700000088390944342e+01,3.800000088390945763e+01,-1.059999997053635070e+02
5.850000079551853105e+01,3.950000079551851684e+01,-1.054999997348271847e+02
6.000000071596670637e+01,4.100000071596667084e+01,-1.049999997613444407e+02
6.150000064437003999e+01,4.250000064436999736e+01,-1.044999997852099796e+02
6.300000057993302960e+01,4.400000057993301539e+01,-1.039999998066889901e+02
